video_id,as_of_date_utc,viewCount,likeCount,commentCount
e5worCFR0yY,2025-09-03,1861,16,0
1a3NMmEJuMI,2025-09-03,136,30,0
ciM56eUSaKY,2025-09-03,3,0,0
lraMgmN7O6Q,2025-09-03,3920,0,0
DPhx4LgHKbU,2025-09-03,929,7,0
3_E3PfG5E0c,2025-09-03,2233,215,0
CnSyxqt_GHI,2025-09-03,146,6,1
q7t9SjvfmB0,2025-09-03,10497,0,0
yH4XBE_nZ_M,2025-09-03,287,0,10
qaTP8VUqCAY,2025-09-03,386,2,0
kPpTsOPmEzw,2025-09-03,21,1,0
Sk4WK7gD0P4,2025-09-03,200,2,0
hat6PKE6J_I,2025-09-03,103,1,0
NxV_GoYc46M,2025-09-03,3224,56,3
k3FRrklc3P8,2025-09-03,0,0,0
30VMqL-QZE4,2025-09-03,11,1,0
alCARoWQl14,2025-09-03,1485,16,1
EUnW2-6G7K8,2025-09-03,5,0,0
3oLuBSvdjks,2025-09-03,83,7,0
BVZIUgrKH60,2025-09-03,5,0,0
q5JjeUIdS0Y,2025-09-03,3,0,0
cD2S_Blr1dc,2025-09-03,11857,144,0
z9vuUY_y0CU,2025-09-03,4100,92,0
cYqvoyW6LzQ,2025-09-03,17290,541,4
CUmKRptSQsI,2025-09-03,37376,151,0
IHJXy66Luag,2025-09-03,7,0,0
tpJEr1pFJt0,2025-09-03,10,0,0
82WbWAze51M,2025-09-03,10,2,0
z-OWKi__dQg,2025-09-03,644,3,0
x4ArxwVmjnI,2025-09-03,29,2,0
zdgaIs027Qc,2025-09-03,1,0,0
NKVjR8uy0S4,2025-09-03,3,1,0
oFtOx2hjgb0,2025-09-03,44,0,0
Tfl4moHUud4,2025-09-03,1256,10,0
EIsKRa8DpmQ,2025-09-03,7226,31,1
LiEOKwOHMmY,2025-09-03,11,2,0
QEl2B-PYkY4,2025-09-03,6,2,0
qTokmgr7PEs,2025-09-03,0,0,0
u104azEXNKw,2025-09-03,10263,541,62
dCA9hdGVohM,2025-09-03,1344,14,0
8pNgTQFpU44,2025-09-03,3,0,0
u7ONH_ghiw4,2025-09-03,828,7,0
bJHut0AruYs,2025-09-03,812,9,0
KQwfcXXTyiU,2025-09-03,149,6,0
MWlHRXLspZQ,2025-09-03,14,0,0
i5RVs7Z_eKk,2025-09-03,2363,37,0
rK99hDa62bk,2025-09-03,1598,7,0
mXl_0_BM48U,2025-09-03,10,0,0
xOHLMLpAVQ4,2025-09-03,9,0,0
LNMvP0TtjdE,2025-09-03,194,0,0
v142POGAs-U,2025-09-03,1192,3,0
YCiV0CaAF5w,2025-09-03,3340,22,3
xxvFrH165L0,2025-09-03,59175,263,0
Sb1y9-ysp3g,2025-09-03,659,13,0
UJulbLsYlso,2025-09-03,89,0,0
cvXm2e3DAe8,2025-09-03,45164,570,49
f-CiblWYx0E,2025-09-03,2317,16,0
AXgxxEVG6bg,2025-09-03,1,1,0
ion4fbf88tA,2025-09-03,224,10,0
cmtJqwteriM,2025-09-03,4920,17,0
C9ieK0D0xs0,2025-09-03,528,0,0
kgwsu_RjaMc,2025-09-03,1017,12,0
s70kFL28Uxw,2025-09-03,28,3,0
TYi9rS6su3w,2025-09-03,514,5,0
_gmWGRmCu8I,2025-09-03,0,0,0
VoqSfhRsbqs,2025-09-03,17735,953,22
Ioz7m_tDe14,2025-09-03,7067,630,24
l--MtLJbQO8,2025-09-03,0,0,0
pw7T-Eqxt7s,2025-09-03,1,0,0
qX1-NyYk4sA,2025-09-03,10,0,0
6Fev6YcjVCk,2025-09-03,320,3,0
T94UtE5n-KM,2025-09-03,0,0,0
P4Uepq4mO6M,2025-09-03,54,6,0
6BmYHLvUtjQ,2025-09-03,441,3,0
6p87Ix7UmX4,2025-09-03,1,0,0
I4cR9kDHfpE,2025-09-03,0,0,0
DotXRfgraT4,2025-09-03,1529,15,0
I8nDprZPH1o,2025-09-03,250,0,0
AQu3CCsHipc,2025-09-03,0,0,0
ibuYDeaHiAw,2025-09-03,524,1,1
rCvEf6TJM-A,2025-09-03,1339,19,2
NrEECgQ9Xcs,2025-09-03,232,3,0
t-jqjbhSBE0,2025-09-03,0,0,0
OYWWTGwkc2g,2025-09-03,247,1,0
0YLpcFdfRho,2025-09-03,298,1,0
d2tglllRlkE,2025-09-03,256,1,0
XcxQvAjC46o,2025-09-03,10,5,0
_YWW8ymXhJ4,2025-09-03,1654,18,0
H_oqwU40j04,2025-09-03,2541,33,0
